000000	Officially Xerox
0000C7	Arix Corporation
0000C8	Altos Computer Systems
0000C9	Emulex
0000CA	ARRIS Group
0000CB	Compu-Shack Electronic Gmbh
0000CC	Densan Co.
0000CD	Allied Telesis Labs Ltd
0000CE	Megadata Corp.
0000CF	Hayes Microcomputer Products
0000D0	Develcon Electronics Ltd.
0000D1	Adaptec
0000D2	Sbe
0000D3	Wang Laboratories Inc.
0000D4	Pure Data Ltd.
0000D5	Micrognosis International
0000D6	Punch Line Holding
0000D7	Dartmouth College (NED Router)
0000D8	old Novell NE1000's (before about 1987?) (also 3Com)
0000D9	Nippon Telegraph & Telephone
0000DB	British Telecommunications plc
0000DC	Hayes Microcomputer Products
0000DD	Tcl Incorporated
0000DF	Bell & Howell Pub Sys Div
0000E0	Quadram Corp.
0000E1	Grid Systems
0000E2	Acer Technologies Corp.
0000E3	Integrated Micro Products Ltd
0000E4	In2 Groupe Intertechnique
0000E5	Sigmex Ltd.
0000E6	Aptor Produits De Comm Indust
0000E7	Star Gate Technologies
0000E8	Accton Technology Corp.
0000E9	Isicad
0000EA	Upnod Ab
0000EB	Matsushita Comm. Ind. Co. Ltd.
0000EC	Microprocess
0000EE	Network Designers Limited [also KNX Ltd
0000F0	Samsung Electronics Co.
0000F1	Magna Computer Corporation
0000F2	Spider Communications
0000F3	Gandalf Data Ltd. - Canada
0000F4	Allied Telesis
0000F5	Diamond Sales Limited
0000F6	Applied Microsystems Corp.
0000F7	Youth Keep Enterprise Co Ltd
0000F8	Digital Equipment Corporation
0000F9	Quotron Systems Inc.
0000FA	Microsage Computer Systems Inc
0000FB	Rechner Zur Kommunikation
0000FD	High Level Hardware (Orion
0000FE	Annapolis Micro Systems
0000FF	Camtec Electronics Ltd.
000100	Equip'Trans
000104	DVICO Co.
000105	Beckhoff Automation GmbH
000106	Tews Datentechnik GmbH
000107	Leiser GmbH
000108	AVLAB Technology
000109	Nagano Japan Radio Co.
00010A	Cis Technology Inc.
00010B	Space CyberLink
00010C	System Talks Inc.
00010D	Teledyne DALSA Inc.
00010E	Bri-Link Technologies Co.
00010F	Brocade Communications Systems
000110	Gotham Networks
000111	iDigm Inc.
000112	Shark Multimedia Inc.
000113	Olympus Corporation
000114	Kanda Tsushin Kogyo Co.
000115	Extratech Corporation
000116	Netspect Technologies
000117	Canal +
000118	EZ Digital Co.
000119	RTUnet (Australia)
00011A	Hoffmann und Burmeister GbR
00011B	Unizone Technologies
00011C	Universal Talkware Corporation
00011D	Centillium Communications
00011E	Precidia Technologies
00011F	RC Networks
000120	Oscilloquartz S.A.
000121	WatchGuard Technologies
000122	Trend Communications
000123	Schneider Electric Japan Holdings Ltd.
000124	Acer Incorporated
000125	Yaesu Musen Co.
000126	PAC Labs
000127	OPEN Networks Pty Ltd
000128	EnjoyWeb
000129	DFI Inc.
00012A	Telematica Sistems Inteligente
00012B	TELENET Co.
00012C	Aravox Technologies
00012D	Komodo Technology
00012E	PC Partner Ltd.
00012F	Twinhead International Corp
000130	Extreme Networks
000131	Bosch Security Systems
000132	Dranetz - BMI
000133	KYOWA Electronic Instruments C
000134	Selectron Systems AG
000135	KDC Corp.
000136	CyberTAN Technology Inc.
000137	IT Farm Corporation
000138	XAVi Technologies Corp.
000139	Point Multimedia Systems
00013A	Shelcad Communications
00013B	Bna Systems
00013C	Tiw Systems
00013D	RiscStation Ltd.
00013E	Ascom Tateco AB
00013F	Neighbor World Co.
000140	Sendtek Corporation
000141	Cable Print
000142	Cisco Systems
000143	IEEE 802
000144	Dell EMC
000145	Winsystems
000146	Tesco Controls
000147	Zhone Technologies
000148	X-traWeb Inc.
000149	Tdt Ag
00014A	Sony Corporation
00014B	Ennovate Networks
00014C	Berkeley Process Control
00014D	Shin Kin Enterprises Co.
00014E	WIN Enterprises
00014F	Adtran Inc
000150	Gilat Communications
000151	Ensemble Communications
000152	Chromatek Inc.
000153	Archtek Telecom Corporation
000154	G3M Corporation
000155	Promise Technology
000156	Firewiredirect.Com
000157	Syswave Co.
000158	Electro Industries/Gauge Tech
000159	S1 Corporation
00015A	Digital Video Broadcasting
00015B	ITALTEL S.p.A/RF-UP-I
00015C	Cadant Inc.
00015D	Oracle Corporation
00015E	Best Technology Co.
00015F	DIGITAL DESIGN GmbH
000160	ELMEX Co.
000161	Meta Machine Technology
000162	Cygnet Technologies
000163	NDC (National Datacomm Corporation)
000164	Cisco Systems
000165	AirSwitch Corporation
000166	Tc Group A/S
000167	Hioki E.E. Corporation
000168	Vitana Corporation
000169	Celestix Networks Pte Ltd.
00016B	LightChip
00016D	CarrierComm Inc.
00016E	Conklin Corporation
00016F	Inkel Corp.
000170	ESE Embedded System Engineer'g
000171	Allied Data Technologies
000172	TechnoLand Co.
000174	CyberOptics Corporation
000175	Radiant Communications Corp.
000176	Orient Silver Enterprises
000178	MARGI Systems
000179	Wireless Technology
00017A	Chengdu Maipu Electric Industrial Co.
00017B	Heidelberger Druckmaschinen AG
00017C	AG-E GmbH
00017D	ThermoQuest
00017E	ADTEK System Science Co.
00017F	Experience Music Project
000180	AOpen
000181	Nortel Networks
000182	Dica Technologies Ag
000183	Anite Telecoms
000184	Sieb & Meyer Ag
000185	Hitachi Aloka Medical
000186	Uwe Disch
000187	I2SE GmbH
000188	LXCO Technologies ag
000189	Refraction Technology
00018A	Roi Computer Ag
00018B	NetLinks Co.
00018C	Mega Vision
00018D	AudeSi Technologies
00018E	Logitec Corporation
00018F	Kenetec
000191	SYRED Data Systems
000192	Texas Digital Systems
000193	Hanbyul Telecom Co.
000194	Capital Equipment Corporation
000195	Sena Technologies
000196	Cisco Systems
000197	Cisco Systems
000198	Darim Vision
000199	HeiSei Electronics
00019A	LEUNIG GmbH
00019B	Kyoto Microcomputer Co.
00019C	JDS Uniphase Inc.
00019D	E-Control Systems
00019E	ESS Technology
0001A0	Infinilink Corporation
0001A1	Mag-Tek
0001A2	Logical Co.
0001A3	Genesys Logic
0001A4	Microlink Corporation
0001A5	Nextcomm
0001A6	Scientific-Atlanta Arcodan A/S
0001A7	Unex Technology Corporation
0001A8	Welltech Computer Co.
0001A9	Bmw Ag
0001AA	Airspan Communications
0001AB	Main Street Networks
0001AC	Sitara Networks
0001AD	Coach Master International d.b.a. CMI Worldwide
0001AE	Trex Enterprises
0001AF	Artesyn Embedded Technologies
0001B0	Fulltek Technology Co.
0001B1	General Bandwidth
0001B2	Digital Processing Systems
0001B3	Precision Electronic Manufacturing
0001B4	Wayport
0001B5	Turin Networks
0001B6	SAEJIN T&M Co.
0001B7	Centos
0001B8	Netsensity
0001B9	SKF (U.K.) Limited
0001BA	IC-Net
0001BB	Frequentis
0001BC	Brains Corporation
0001BD	Peterson Electro-Musical Products
0001BE	Gigalink Co.
0001BF	Teleforce Co.
0001C0	CompuLab
0001C1	Vitesse Semiconductor Corporation
0001C2	ARK Research Corp.
0001C3	Acromag
0001C4	NeoWave
0001C5	Simpler Networks
0001C6	Quarry Technologies
0001C7	Cisco Systems
0001C8	Thomas Conrad Corp.
0001C9	Cisco Systems
0001CA	Geocast Network Systems
0001CC	Japan Total Design Communication Co.
0001CE	Custom Micro Products
0001CF	Alpha Data Parallel Systems
0001D0	VitalPoint
0001D1	CoNet Communications
0001D2	inXtron
0001D3	PAXCOMM
0001D4	Leisure Time
0001D5	Haedong Info & Comm Co.
0001D6	manroland AG
0001D7	F5 Networks
0001D8	Teltronics
0001D9	Sigma
0001DA	WINCOMM Corporation
0001DB	Freecom Technologies GmbH
0001DC	Activetelco
0001DD	Avail Networks
0001DE	Trango Systems
0001DF	ISDN Communications
0001E0	Fast Systems
0001E1	Kinpo Electronics
0001E2	Ando Electric Corporation
0001E3	Siemens AG
0001E4	Sitera
0001E5	Supernet
0001E6	Hewlett Packard
0001E7	Hewlett Packard
0001E8	Force10 Networks
0001E9	Litton Marine Systems B.V.
0001EA	Cirilium Corp.
0001EB	C-COM Corporation
0001EC	Ericsson Group
0001ED	SETA Corp.
0001EE	Comtrol Europe
0001EF	Camtel Technology Corp.
0001F0	Tridium
0001F1	Innovative Concepts
0001F2	Mark of the Unicorn
0001F3	QPS
0001F4	Enterasys
0001F5	Erim S.A.
0001F6	Association of Musical Electronics Industry
0001F7	Image Display Systems
0001F8	Texio Technology Corporation
0001F9	TeraGlobal Communications Corp.
0001FB	DoTop Technology
0001FC	Keyence Corporation
0001FD	Digital Voice Systems
0001FE	Digital Equipment Corporation
0001FF	Data Direct Networks
000200	Net & Sys Co.
000201	IFM Electronic gmbh
000202	Amino Communications
000203	Woonsang Telecom
000204	Bodmann Industries Elektronik GmbH
000205	Hitachi Denshi
000206	Telital R&D Denmark A/S
000207	VisionGlobal Network Corp.
000208	Unify Networks
000209	Shenzhen SED Information Technology Co.
00020A	Gefran Spa
00020B	Native Networks
00020C	Metro-Optix
00020D	Micronpc.com
00020E	ECI Telecom Ltd.
000211	Nature Worldwide Technology Corp.
000212	SierraCom
000213	S.D.E.L.
000215	Cotas Computer Technology A/B
000216	ESI (Extended Systems
000217	Cisco Systems
000218	Advanced Scientific Corp
000219	Paralon Technologies
00021A	Zuma Networks
00021B	Kollmorgen-Servotronix
00021C	Network Elements
00021D	Data General Communication Ltd.
00021E	Simtel S.R.L.
00021F	Aculab PLC
000220	Canon Finetech Inc.
000221	DSP Application
000222	Chromisys
000225	One Stop Systems
000226	XESystems
000227	ESD Electronic System Design GmbH
000228	Necsom
000229	Adtec Corporation
00022A	Asound Electronic
00022B	SAXA
00022C	ABB Bomem
00022D	Agere Systems
00022E	TEAC Corp. R& D
00022F	P-Cube
000230	Intersoft Electronics
000231	Ingersoll-Rand
000232	Avision
000233	Mantra Communications
000234	Imperial Technology
000235	Paragon Networks International
000236	INIT GmbH
000237	Cosmo Research Corp.
000238	Serome Technology
00023A	ZSK Stickmaschinen GmbH
00023C	Creative Technology
00023D	Cisco Systems
00023E	Selta Telematica S.p.a
00023F	Compal Electronics INC.
000240	Seedek Co.
000241	Amer.com
000242	Videoframe Systems
000243	Raysis Co.
000244	SURECOM Technology Co.
000245	Lampus Co
000246	All-Win Tech Co.
000247	Great Dragon Information Technology (Group) Co.
000248	Pilz GmbH & Co.
000249	Aviv Infocom Co
00024A	Cisco Systems
00024B	Cisco Systems
00024C	SiByte
00024D	Mannesman Dematic Colby Pty. Ltd.
00024E	Datacard Group
00024F	IPM Datacom S.R.L.
000250	Geyser Networks
000251	Soma Networks
000252	Carrier Corporation
000253	Televideo
000254	WorldGate
000255	IBM Corp
000256	Alpha Processor
000257	Microcom Corp.
000258	Flying Packets Communications
000259	Tsann Kuen China (Shanghai)Enterprise Co.
00025A	Catena Networks
00025B	Cambridge Silicon Radio
00025C	SCI Systems (Kunshan) Co.
00025D	Calix Networks
00025E	High Technology Ltd
00025F	Nortel Networks
000260	Accordion Networks
000261	Tilgin AB
000262	Soyo Group Soyo Com Tech Co.
000263	UPS Manufacturing SRL
000264	AudioRamp.com
000265	Virditech Co. Ltd.
000266	Thermalogic Corporation
000267	Node Runner
000268	Harris Government Communications
000269	Nadatel Co.
00026A	Cocess Telecom Co.
00026B	BCM Computers Co.
00026C	Philips CFT
00026D	Adept Telecom
00026E	NeGeN Access
00026F	Senao International Co.
000270	Crewave Co.
000271	Zhone Technologies
000272	CC&C Technologies
000273	Coriolis Networks
000274	Tommy Technologies Corp.
000275	SMART Technologies
000276	Primax Electronics Ltd.
000277	Cash Systemes Industrie
000278	Samsung Electro Mechanics Co.
000279	Control Applications
00027A	IOI Technology Corporation
00027B	Amplify Net
00027C	Trilithic
00027D	Cisco Systems
00027E	Cisco Systems
00027F	ask-technologies.com
000280	Mu Net
000281	Madge Ltd.
000282	ViaClix
000283	Spectrum Controls
000284	UK Grid Solutions Limited
000285	Riverstone Networks
000286	Occam Networks
000288	Global Village (PCcard in Mac portable)
000289	DNE Technologies
00028A	Ambit Microsystems Corporation
00028B	VDSL Systems OY
00028C	Micrel-Synergy Semiconductor
00028D	Movita Technologies
00028E	Rapid 5 Networks
00028F	Globetek
000290	Woorigisool
000291	Open Network Co.
000292	Logic Innovations
000293	Solid Data Systems
000294	Tokyo Sokushin Co.
000295	IP.Access Limited
000296	Lectron Co
000297	C-COR.net
000298	Broadframe Corporation
000299	Apex
00029A	Storage Apps
00029B	Kreatel Communications AB
00029D	Merix Corp.
00029E	Information Equipment Co.
00029F	L-3 Communication Aviation Recorders
0002A0	Flatstack Ltd.
0002A1	World Wide Packets
0002A2	Hilscher GmbH
0002A3	ABB Switzerland Ltd
0002A4	AddPac Technology Co.
0002A5	Hewlett Packard
0002A6	Effinet Systems Co.
0002A7	Vivace Networks
0002A8	Air Link Technology
0002A9	RACOM
0002AA	PLcom Co.
0002AB	CTC Union Technologies Co.
0002AC	3PAR data
0002AD	HOYA Corporation
0002AE	Scannex Electronics Ltd.
0002AF	TeleCruz Technology
0002B0	Hokubu Communication & Industrial Co.
0002B1	Anritsu
0002B2	Cablevision
0002B3	Intel Corporation
0002B5	Avnet
0002B6	Acrosser Technology Co.
0002B7	Watanabe Electric Industry Co.
0002B8	Whi Konsult Ab
0002B9	Cisco Systems
0002BA	Cisco Systems
0002BB	Continuous Computing Corp
0002BC	LVL 7 Systems
0002BD	Bionet Co.
0002BE	Totsu Engineering
0002BF	dotRocket
0002C0	Bencent Tzeng Industry Co.
0002C1	Innovative Electronic Designs
0002C2	Net Vision Telecom
0002C3	Arelnet Ltd.
0002C4	Vector International BVBA
0002C5	Evertz Microsystems Ltd.
0002C6	Data Track Technology PLC
0002C7	Alps Electric Co.
0002C8	Technocom Communications Technology (pte) Ltd
0002C9	Mellanox Technologies
0002CA	EndPoints
0002CB	TriState Ltd.
0002CC	M.C.C.I
0002CD	TeleDream
0002CE	FoxJet
0002CF	ZyGate Communications
0002D0	Comdial Corporation
0002D1	Vivotek
0002D2	Workstation AG
0002D3	NetBotz
0002D4	PDA Peripherals
0002D6	NICE Systems
0002D7	EMPEG Ltd
0002D8	BRECIS Communications Corporation
0002D9	Reliable Controls
0002DA	ExiO Communications
0002DC	Fujitsu General Limited
0002DD	Bromax Communications
0002DE	Astrodesign
0002DF	Net Com Systems
0002E0	ETAS GmbH
0002E1	Integrated Network Corporation
0002E2	NDC Infared Engineering
0002E3	LITE-ON Communications
0002E4	JC HYUN Systems
0002E5	Timeware Ltd.
0002E6	Gould Instrument Systems
0002E7	CAB GmbH & Co KG
0002E8	E.D.&A.
0002E9	CS Systemes De Securite - C3S
0002EA	Focus Enhancements
0002EB	Pico Communications
0002EC	Maschoff Design Engineering
0002ED	DXO Telecom Co.
0002EE	Nokia Danmark A/S
0002EF	CCC Network Systems Group Ltd.
0002F0	AME Optimedia Technology Co.
0002F1	Pinetron Co.
0002F2	eDevice
0002F3	Media Serve Co.
0002F4	PCTEL
0002F5	VIVE Synergies
0002F6	Equipe Communications
0002F8	SEAKR Engineering
0002F9	MIMOS Berhad
0002FA	DX Antenna Co.
0002FB	Baumuller Aulugen-Systemtechnik GmbH
0002FC	Cisco Systems
0002FD	Cisco Systems
0002FE	Viditec
0002FF	Handan BroadInfoCom
000300	Barracuda Networks
000302	Charles Industries
000303	JAMA Electronics Co.
000304	Pacific Broadband Communications
000305	MSC Vertriebs GmbH
000306	Fusion In Tech Co.
000307	Secure Works
000308	AM Communications
000309	Texcel Technology PLC
00030A	Argus Technologies
00030B	Hunter Technology
00030C	Telesoft Technologies Ltd.
00030D	Uniwill Computer Corp.
00030E	Core Communications Co.
00030F	Digital China (Shanghai) Networks Ltd.
000310	E-Globaledge Corporation
000311	Micro Technology Co.
000312	TRsystems GmbH
000313	Access Media SPA
000314	Teleware Network Systems
000315	Cidco Incorporated
000316	Nobell Communications
000317	Merlin Systems
000318	Cyras Systems
000319	Infineon AG
00031A	Beijing Broad Telecom Ltd.
00031B	Cellvision Systems
00031C	Svenska Hardvarufabriken AB
00031D	Taiwan Commate Computer
00031E	Optranet
00031F	Condev Ltd.
000320	Xpeed
000321	Reco Research Co.
000322	IDIS Co.
000323	Cornet Technology
000324	SANYO Consumer Electronics Co.
000325	Arima Computer Corp.
000326	Iwasaki Information Systems Co.
000327	Act'L
000328	Mace Group
000329	F3
00032A	UniData Communication Systems
00032B	GAI Datenfunksysteme GmbH
00032C	ABB Switzerland Ltd
00032D	IBASE Technology
00032E	Scope Information Management
00032F	Global Sun Technology
000330	Imagenics
000331	Cisco Systems
000332	Cisco Systems
000333	Digitel Co.
000334	Newport Electronics
000335	Mirae Technology
000336	Zetes Technologies
000337	Vaone
000338	Oak Technology
000339	Eurologic Systems
00033A	Silicon Wave
00033B	TAMI Tech Co.
00033C	Daiden Co.
00033D	ILSHin Lab
00033E	Tateyama System Laboratory Co.
00033F	BigBand Networks
000340	Floware Wireless Systems
000341	Axon Digital Design
000342	Nortel Networks
000343	Martin Professional A/S
000344	Tietech.Co.
000345	Routrek Networks Corporation
000346	Hitachi Kokusai Electric
000347	Intel Corporation
000348	Norscan Instruments
000349	Vidicode Datacommunicatie B.V.
00034A	RIAS Corporation
00034B	Nortel Networks
00034C	Shanghai DigiVision Technology Co.
00034D	Chiaro Networks
00034E	Pos Data Company
00034F	Sur-Gard Security
000350	Bticino Spa
000351	Diebold
000352	Colubris Networks
000353	Mitac
000354	Fiber Logic Communications
000355	TeraBeam Internet Systems
000356	Wincor Nixdorf International GmbH
000357	Intervoice-Brite
000358	Hanyang Digitech Co.Ltd
000359	DigitalSis
00035A	Photron Limited
00035B	BridgeWave Communications
00035C	Saint Song Corp.
00035D	Bosung Hi-Net Co.
00035E	Metropolitan Area Networks
00035F	Prüftechnik Condition Monitoring GmbH & Co. KG
000360	PAC Interactive Technology
000361	Widcomm
000362	Vodtel Communications
000363	Miraesys Co.
000364	Scenix Semiconductor
000365	Kira Information & Communications
000366	ASM Pacific Technology
000367	Jasmine Networks
000368	Embedone Co.
000369	Nippon Antenna Co.
00036A	Mainnet
00036B	Cisco Systems
00036C	Cisco Systems
00036D	Runtop
00036E	Nicon Systems (Pty) Limited
00036F	Telsey SPA
000370	NXTV
000371	Acomz Networks Corp.
000373	Aselsan A.S
000374	Control Microsystems
000375	NetMedia
000376	Graphtec Technology
000377	Gigabit Wireless
000378	HUMAX Co.
000379	Proscend Communications
00037A	Taiyo Yuden Co.
00037B	IDEC IZUMI Corporation
00037C	Coax Media
00037E	PORTech Communications
00037F	Atheros Communications
000380	SSH Communications Security Corp.
000381	Ingenico International
000382	A-One Co.
000383	Metera Networks
000385	Actelis Networks
000386	Ho Net
000387	Blaze Network Products
000388	Fastfame Technology Co.
000389	Plantronics
00038A	America Online
00038B	PLUS-ONE I&T
00038C	Total Impact
00038D	PCS Revenue Control Systems
00038E	Atoga Systems
00038F	Weinschel Corporation
000390	Digital Video Communications
000391	Advanced Digital Broadcast
000392	Hyundai Teletek Co.
000393	Apple
000394	Connect One
000395	California Amplifier
000396	EZ Cast Co.
000397	FireBrick Limited
000399	Dongju Informations & Communications Co.
00039A	SiConnect
00039B	NetChip Technology
00039C	OptiMight Communications
00039D	Qisda Corporation
00039E	Tera System Co.
00039F	Cisco Systems
0003A0	Cisco Systems
0003A1	HIPER Information & Communication
0003A2	Catapult Communications
0003A3	MAVIX
0003A4	Imation Corp.
0003A5	Medea Corporation
0003A6	Traxit Technology
0003A7	Unixtar Technology
0003A8	IDOT Computers
0003A9	AXCENT Media AG
0003AB	Bridge Information Systems
0003AC	Fronius Schweissmaschinen
0003AD	Emerson Energy Systems AB
0003AE	Allied Advanced Manufacturing Pte
0003AF	Paragea Communications
0003B0	Xsense Technology Corp.
0003B1	Hospira Inc.
0003B3	IA Link Systems Co.
0003B4	Macrotek International Corp.
0003B5	Entra Technology Co.
0003B6	QSI Corporation
0003B7	ZACCESS Systems
0003B8	NetKit Solutions
0003B9	Hualong Telecom Co.
0003BA	Oracle Corporation
0003BB	Signal Communications Limited
0003BC	COT GmbH
0003BD	OmniCluster Technologies
0003BF	Centerpoint Broadband Technologies
0003C0	RFTNC Co.
0003C1	Packet Dynamics Ltd
0003C2	Solphone K.K.
0003C3	Micronik Multimedia
0003C4	Tomra Systems ASA
0003C5	Mobotix AG
0003C6	ICUE Systems
0003C7	hopf Elektronik GmbH
0003C8	CML Emergency Services
0003C9	TECOM Co.
0003CA	MTS Systems Corp.
0003CB	Nippon Systems Development Co.
0003CC	Momentum Computer
0003CD	Clovertech
0003CE	ETEN Technologies
0003CF	Muxcom
0003D0	KOANKEISO Co.
0003D1	Takaya Corporation
0003D2	Crossbeam Systems
0003D3	Internet Energy Systems
0003D4	Alloptic
0003D5	Advanced Communications Co.
0003D6	RADVision
0003D7	NextNet Wireless
0003D8	iMPath Networks
0003D9	Secheron SA
0003DA	Takamisawa Cybernetics Co.
0003DB	Apogee Electronics Corp.
0003DC	Lexar Media
0003DD	Comark Interactive Solutions
0003DE	OTC Wireless
0003DF	Desana Systems
0003E0	ARRIS Group
0003E1	Winmate Communication
0003E2	Comspace Corporation
0003E3	Cisco Systems
0003E4	Cisco Systems
0003E5	Hermstedt SG
0003E6	Entone
0003E7	Logostek Co. Ltd.
0003E8	Wavelength Digital Limited
0003E9	Akara Canada
0003EA	Mega System Technologies
0003EC	ICG Research
0003ED	Shinkawa Electric Co.
0003EE	MKNet Corporation
0003EF	Oneline AG
0003F0	Redfern Broadband Networks
0003F1	Cicada Semiconductor
0003F2	Seneca Networks
0003F3	Dazzle Multimedia
0003F4	NetBurner
0003F5	Chip2Chip
0003F6	Allegro Networks
0003F7	Plast-Control GmbH
0003F8	SanCastle Technologies
0003F9	Pleiades Communications
0003FA	TiMetra Networks
0003FB	ENEGATE Co.
0003FC	Intertex Data AB
0003FD	Cisco Systems
0003FE	Cisco Systems
0003FF	Microsoft Corporation
000400	Lexmark (Print Server)
000401	Osaki Electric Co.
000402	Nexsan Technologies
000403	Nexsi Corporation
000404	Makino Milling Machine Co.
000405	ACN Technologies
000406	Fa. Metabox AG
000407	Topcon Positioning Systems
000408	Sanko Electronics Co.
000409	Cratos Networks
00040A	Sage Systems
00040B	3Com Europe Ltd
00040C	Kanno Works
00040D	Avaya Inc
00040E	AVM GmbH
00040F	Asus Network Technologies
000410	Spinnaker Networks
000411	Inkra Networks
000412	WaveSmith Networks
000413	snom technology GmbH
000414	Umezawa Musen Denki Co.
000415	Rasteme Systems Co.
000416	Parks S/A Comunicacoes Digitais
000417	Elau Ag
000418	Teltronic S.A.U.
000419	Fibercycle Networks
00041A	Ines Test and Measurement GmbH & CoKG
00041B	Bridgeworks Ltd.
00041C	ipDialog
00041D	Corega of America
00041E	Shikoku Instrumentation Co.
00041F	Sony Interactive Entertainment Inc.
000420	Slim Devices
